1	東京	35.681382	139.76608399999998
2	有楽町	35.675069	139.763328
3	新橋	35.665498	139.75964
4	浜松町	35.655646	139.756749
5	田町	35.645736	139.74757499999998
6	品川	35.630152	139.74044000000004
7	大崎	35.6197	139.72855300000003
8	五反田	35.626446	139.72344399999997
9	目黒	35.633998	139.715828
10	恵比寿	35.64669	139.710106
11	渋谷	35.658517	139.70133399999997
12	原宿	35.670168	139.70268699999997
13	代々木	35.683061	139.702042
14	新宿	35.690921	139.70025799999996
15	新大久保	35.701306	139.70004399999993
16	高田馬場	35.712285	139.70378200000005
17	目白	35.721204	139.706587
18	池袋	35.728926	139.71038
19	大塚	35.731401	139.72866199999999
20	巣鴨	35.733492	139.73934499999996
21	駒込	35.736489	139.74687500000005
22	田端	35.738062	139.76085999999998
23	西日暮里	35.732135	139.76678700000002
24	日暮里	35.727772	139.770987
25	鶯谷	35.720495	139.77883700000007
26	上野	35.713768	139.77725399999997
27	御徒町	35.707438	139.774632
28	秋葉原	35.698683	139.77421900000002
29	神田	35.69169	139.77088300000003
